employee_id,first_name,last_name,salary,department_id,job_id,manager_id,hire_date
2031,Jim,Phillips,242476.45,,SUR01,,2022-05-28
2032,Emily,RYAN,,999.0,DDS01,,2027-06-23
2033,Daniel,Stanley,,101.0,BIL01,,2028-05-15
2034,Adam,Walker,251886.09,105.0,MGR01,,2020-08-05
2035,John,Kelly,0.0,,FIN01,2883.0,2028-09-18
2036,Robert,Levine,,,MGR01,,2028-03-28
2037,Amber,Moore,200783.13,999.0,REC01,,2023-04-21
2038,James,Davis,,,AST01,3383.0,2029-06-06
2039,Lori,Jenkins,187429.99,114.0,SUR01,,2013-04-28
2040,Nicole,Ryan,185593.01,,HR01,9999.0,2020-12-17
2041,Brittany,Lee,46275.31,,DDS01,2448.0,2030-04-01
2042,Troy,Jackson,,999.0,IT01,9999.0,2027-06-02
2043,John,Lee,0.0,108.0,REC01,,2027-05-06
2044,Charles,Jones,,111.0,REC01,,2018-02-17
2045,Morgan,Davis,63532.86,,HYG01,3421.0,2014-07-28
2046,Rebecca,Scott,,999.0,FIN01,9999.0,2017-10-06
2047,Shawn ,Taylor,,999.0,IT01,9999.0,2020-05-21
2048,Laura,Grant,0.0,,AST01,3483.0,2028-11-10
2049,Timothy,Mitchell,0.0,101.0,IT01,,2019-02-05
2050,Sarah,Cohen,,,HYG01,,2029-10-13
2051,Keith,Snyder,263941.53,111.0,DDS01,9999.0,2013-02-28
2052,Matthew,Mccarthy,80047.94,999.0,IT01,9999.0,2018-06-16
2053,Gabriela,West,0.0,112.0,HYG01,3592.0,2029-06-25
2054,Alyssa,Miller,,999.0,HYG01,2406.0,2023-06-23
2055,Megan,Williams,0.0,113.0,BIL01,9999.0,2027-07-21
2056,,Sullivan,,,AST01,,2028-01-17
2057,Todd,Moran,0.0,,BIL01,,2028-02-09
2058,Raymond,Porter,247775.17,,BIL01,9999.0,2030-03-07
2059,Tina,WHITE,,,MGR01,9999.0,2029-10-23
2060,Michelle,JEFFERSON,,109.0,IT01,,2030-03-07
2061,Jessica,Wall,,999.0,HR01,,2029-10-11
2062,Lori,Sullivan,,105.0,BIL01,9999.0,2025-04-14
2063,Joshua,Jenkins,87584.46,,HYG01,9999.0,2030-02-05
2064,Ashley,Ballard,0.0,109.0,MGR01,2561.0,2022-03-04
2065,Stephanie,Braun,218142.2,114.0,IT01,,2028-06-26
2066,Sherry,Torres,,102.0,FIN01,,2016-06-10
2067,Kaitlin,Shepherd,,102.0,FIN01,9999.0,2028-01-05
2068,Tyler,Carroll,,999.0,FIN01,,2016-01-06
2069,Christopher,Roberts,,111.0,MGR01,2321.0,2024-10-09
2070,Stephanie ,Chandler,,101.0,IT01,9999.0,2027-12-02
2071,Kevin,Rowland,0.0,111.0,AST01,2870.0,2017-12-31
2072,James,Murphy,,999.0,IT01,9999.0,2027-05-09
2073,Yesenia,Garza,0.0,,HR01,2896.0,2022-06-23
2074,Theresa,Foley,0.0,999.0,FIN01,3202.0,2027-06-18
2075,Jamie,Phillips,,999.0,HYG01,9999.0,2028-04-02
2076,Kelly,Collins,69057.97,,HR01,,2027-12-20
2077,Rodney,Lopez,,,MGR01,9999.0,2011-12-29
2078,Cathy,Frazier,,,REC01,3556.0,2017-02-11
2079,Robert,Garcia,205597.51,999.0,REC01,3246.0,2014-03-16
2080,David,Davis,273219.14,108.0,REC01,3326.0,2029-04-30
2081,Jimmy,Bradshaw,270456.27,999.0,FIN01,,2016-07-07
2082,Joshua,Hutchinson,,999.0,REC01,2547.0,2029-10-02
2083,Olivia,Jenkins,,,IT01,,2027-11-17
2084,Robin,Bailey,,,HR01,,2030-02-05
2085,Laurie,Moss,,101.0,HYG01,9999.0,2029-07-30
2086,Kenneth,Melendez,0.0,,HYG01,9999.0,2023-07-31
2087,Amy,Grant,0.0,,BIL01,9999.0,2029-04-16
2088,Charles,Ford,0.0,102.0,SUR01,9999.0,2028-03-25
2089,Richard,Miller,190762.0,108.0,DDS01,,2017-07-10
2090,Michael,Olson,144057.96,,AST01,9999.0,2013-03-30
2091,Tammy,Lopez,,999.0,REC01,2293.0,2028-06-01
2092,Jessica,Butler,,999.0,BIL01,2323.0,2028-07-28
2093,Donald,Hudson,,,HYG01,,2029-12-25
2094,Carolyn,Peterson,,999.0,FIN01,,2025-11-20
2095,Ryan,Hurley,0.0,,SUR01,3588.0,2029-02-23
2096,Cheryl,Black,0.0,111.0,REC01,3286.0,2023-01-08
2097,Jessica,Taylor,,999.0,AST01,2850.0,2016-03-26
2098,Mary,Mendez,,114.0,BIL01,,2029-05-07
2099,Robert,Murphy,218454.84,999.0,MGR01,9999.0,2028-08-06
2100,,Hamilton,,999.0,FIN01,9999.0,2030-01-27
2101,Kelly,Williams,,999.0,FIN01,9999.0,2027-09-01
2102,Makayla,Zuniga,,,DDS01,2238.0,2025-01-20
2103,Jennifer,Brown,249069.64,,FIN01,9999.0,2028-09-01
2104,Tanya,Allen,,,BIL01,,2020-11-01
2105,Jacob,Lewis,0.0,999.0,DDS01,9999.0,2027-06-26
2106,Patrick,Clayton,,999.0,DDS01,9999.0,2020-01-03
2107,Courtney,Thomas,174852.93,999.0,SUR01,9999.0,2016-12-25
2108,Justin,Kelly,45652.18,999.0,DDS01,2513.0,2023-10-15
2109,Nathan,Lynn,180436.17,,MGR01,2107.0,2028-11-29
2110,John,Hernandez,0.0,,MGR01,3031.0,2023-08-04
2111,Lori,Cox,,999.0,HYG01,,2028-07-19
2112,David,Frost,0.0,999.0,HR01,9999.0,2027-05-25
2113,Vanessa,Schultz,184248.16,999.0,HR01,9999.0,2015-08-03
2114,Angela,Johnson,,112.0,REC01,,2028-08-01
2115,Robert,Davis,60440.66,,AST01,9999.0,2029-11-25
2116,George,Gordon,120818.58,,DDS01,9999.0,2027-12-07
2117,Nathaniel,Clark,177921.26,999.0,BIL01,2987.0,2017-05-23
2118,Dana,Keller,,999.0,FIN01,9999.0,2017-10-13
2119,Adam,Reed,0.0,,DDS01,,2028-02-04
2120,Desiree,Lopez,0.0,111.0,HR01,9999.0,2020-01-20
2121,Bethany,James,0.0,110.0,AST01,3809.0,2017-05-27
2122,Curtis,Young,,999.0,SUR01,,2029-04-22
2123,Thomas,George,0.0,,DDS01,9999.0,2027-08-02
2124,Annette,Taylor,92017.32,113.0,BIL01,,2028-06-06
2125,Daniel,Mack,0.0,112.0,HYG01,9999.0,2028-04-06
2126,Ryan,Kim,150743.48,,HR01,,2028-08-12
2127,David,Holland,0.0,999.0,HR01,,2021-08-13
2128,Ronald,Martin,,,BIL01,,2020-01-07
2129,Nathaniel,Owens,167039.11,,SUR01,9999.0,2024-09-15
2130,Robert,Archer,0.0,102.0,IT01,9999.0,2027-11-07
2131,Richard,Griffith,0.0,999.0,AST01,,2027-10-29
2132,Charles,Herring,0.0,,IT01,3039.0,2028-09-21
2133,Pamela,Macdonald,62648.13,999.0,FIN01,,2028-07-09
2134,Lisa,Davis,0.0,111.0,MGR01,9999.0,2030-02-09
2135,Nicole,Smith,,112.0,DDS01,9999.0,2021-01-16
2136,Jeffrey,Fuentes,165232.05,,HR01,,2028-10-15
2137,Robert,Thomas,,,REC01,9999.0,2027-12-27
2138,Austin,Jensen,183621.19,106.0,BIL01,9999.0,2013-04-20
2139,Kevin,Wilson,0.0,,AST01,,2028-01-22
2140,Marcus,Conner,0.0,999.0,DDS01,,2029-06-15
2141,Ray,Bell,,104.0,REC01,2281.0,2011-07-25
2142,Alex,Pace,0.0,999.0,FIN01,9999.0,2021-10-31
2143,Carol,Larsen,222352.5,,SUR01,,2029-12-21
2144,Christopher,Foster,225274.08,109.0,BIL01,,2017-02-17
2145,Ryan,Harvey,,999.0,FIN01,2857.0,2017-03-13
2146,Kimberly,Hunt,0.0,115.0,REC01,9999.0,2013-12-28
2147,Michael,Reilly,,102.0,DDS01,,2028-04-27
2148,David,Martin,133818.21,106.0,BIL01,,2018-10-27
2149,Robert,Gordon,0.0,114.0,IT01,9999.0,2029-06-03
2150,,Francis,94600.59,999.0,HYG01,9999.0,2028-02-18
2151,Monica,Brown,0.0,999.0,IT01,2936.0,2018-06-30
2152,Mitchell ,Lopez,100645.77,,SUR01,9999.0,2029-12-18
2153,Amanda,Cobb,,999.0,HR01,9999.0,2018-01-13
2154,Leslie,Walker,0.0,,SUR01,3614.0,2030-03-20
2155,Brenda,Phillips,,103.0,AST01,9999.0,2027-09-02
2156,Nicholas,Young,155062.17,113.0,DDS01,9999.0,2027-08-26
2157,Ebony,Peterson,,,REC01,9999.0,2029-04-03
2158,Kristen,Cruz,243291.86,999.0,BIL01,,2017-07-12
2159,Timothy,Anderson,,,MGR01,,2028-08-07
2160,Adriana,Lopez,144039.64,,BIL01,2657.0,2013-03-05
2161,Danielle,Adams,0.0,,FIN01,2915.0,2029-03-20
2162,Robert,Gonzalez,263018.01,999.0,DDS01,,2024-12-29
2163,Michael,Zimmerman,53003.76,999.0,FIN01,,2027-12-18
2164,Jessica,Murphy,,113.0,HR01,3175.0,2029-11-30
2165,Christopher,Alvarez,50960.07,999.0,REC01,9999.0,2017-05-13
2166,Maria,Watson,0.0,,HYG01,2409.0,2017-01-29
2167,Brittany,Weber,0.0,,MGR01,,2026-04-12
2168,Jermaine,Wilson,0.0,111.0,HYG01,,2014-03-03
2169,Gina,Cohen,,999.0,FIN01,,2011-09-21
2170,Vincent,Strong,,,AST01,,2020-08-12
2171,Tonya,Russell,,999.0,AST01,9999.0,2023-01-12
2172,Veronica,Foster,73557.06,105.0,BIL01,,2015-01-18
2173,Morgan,Jensen,63137.78,999.0,FIN01,2562.0,2029-03-01
2174,Zachary,Dudley,261569.61,999.0,FIN01,9999.0,2027-12-03
2175,James,Reyes,0.0,999.0,FIN01,9999.0,2028-05-25
2176,Jacqueline,Norris,,108.0,REC01,9999.0,2029-09-26
2177,Tyler,Oconnor,,,BIL01,3242.0,2029-08-28
2178,Brian,Little,,999.0,IT01,,2021-10-18
2179,Christopher,Phelps,,999.0,BIL01,2856.0,2014-01-07
2180,Victoria,Rodgers,0.0,,DDS01,,2028-12-19
2181,Charles,Powers,0.0,106.0,FIN01,,2027-10-27
2182,Katherine,Williams,168438.87,107.0,HR01,,2028-09-24
2183,Scott,Jones,0.0,105.0,MGR01,9999.0,2027-12-19
2184,Donald,Garrison,72326.53,,AST01,,2028-05-03
2185,Todd,Nelson,55419.77,,AST01,,2027-06-29
2186,Kenneth,Travis,186005.67,999.0,MGR01,,2027-08-03
2187,Cynthia,Diaz,113951.83,,FIN01,3379.0,2030-01-18
2188,Dakota,Ford,0.0,,DDS01,9999.0,2021-02-04
2189,Edgar,Lowery,,999.0,SUR01,2496.0,2012-05-22
2190,Stephen,ZAVALA,,999.0,AST01,,2024-03-01
2191,Peter,Rodgers,,106.0,MGR01,9999.0,2027-09-22
2192,Bobby,Bennett,0.0,999.0,REC01,2991.0,2024-06-19
2193,Phillip,Todd,,112.0,BIL01,9999.0,2030-04-03
2194,Brittney,Bennett,,999.0,HR01,9999.0,2029-06-06
2195,Scott,Edwards,,112.0,IT01,,2028-09-01
2196,Charles,Jones,,103.0,SUR01,9999.0,2025-05-10
2197,Timothy,Mullins,98552.41,,AST01,,2015-12-16
2198,Trevor,JOSEPH,,999.0,REC01,,2029-02-27
2199,Gina,Smith,0.0,999.0,HR01,3741.0,2019-10-16
2200,Candice,Miller,,,DDS01,9999.0,2028-06-11
2201,Natalie,NOVAK,,999.0,AST01,9999.0,2029-01-26
2202,Amber,Giles,70908.76,,DDS01,,2013-07-09
2203,Anthony,Allen,219175.03,999.0,MGR01,,2029-02-28
2204,Jennifer,Morris,,106.0,SUR01,,2028-05-14
2205,Sarah,Serrano,0.0,,DDS01,,2021-07-22
2206,Jennifer,Wilson,0.0,,BIL01,3413.0,2030-01-16
2207,Brad,Roberts,0.0,,MGR01,9999.0,2030-04-30
2208,Steven,Farrell,0.0,114.0,HYG01,,2028-02-20
2209,David,Cooper,252664.28,999.0,MGR01,2306.0,2027-05-13
2210,Nancy,Delgado,0.0,108.0,IT01,2928.0,2030-02-08
2211,Lisa,Nolan,115879.0,,FIN01,3672.0,2013-08-04
2212,Sarah,Jordan,169467.61,115.0,REC01,,2011-10-01
2213,Jamie,Jones,0.0,,HR01,,2027-05-21
2214,Deborah,Sellers,0.0,,MGR01,2242.0,2029-12-22
2215,Danielle,Farmer,,999.0,MGR01,9999.0,2028-11-26
2216,Rebecca,Lopez,80677.92,999.0,HR01,3567.0,2012-07-19
2217,Curtis,Williams,100353.25,999.0,SUR01,,2019-04-25
2218,Frank,Good,94971.92,999.0,FIN01,2592.0,2029-07-27
2219,Derek,Booker,114405.82,999.0,REC01,,2028-05-16
2220,Lindsey,Roberts,0.0,,BIL01,,2015-09-30
2221,Kevin,Burgess,,107.0,MGR01,,2012-04-19
2222,Stephen,Curtis,,115.0,MGR01,,2027-08-03
2223,Kathleen,Valenzuela,120960.49,,MGR01,,2015-08-04
2224,Richard,Willis,0.0,101.0,IT01,9999.0,2015-05-01
2225,Diana,Curtis,254068.66,115.0,IT01,9999.0,2018-03-12
2226,Jason,Haynes,136225.37,,IT01,,2029-02-01
2227,Thomas,Adams,,108.0,BIL01,9999.0,2029-07-05
2228,Shelby,Carter,174380.69,112.0,REC01,,2027-09-15
2229,Brian,Flores,,999.0,REC01,9999.0,2028-09-17
2230,Shaun,Jenkins,,999.0,AST01,,2019-12-23
2231,Gabriel,Tucker,0.0,999.0,DDS01,2069.0,2014-08-21
2232,Austin,Hill,207649.0,999.0,FIN01,,2022-10-22
2233,Jamie,Gould,196635.4,999.0,DDS01,,2024-01-16
2234,Gregory,Berry,0.0,,HYG01,3651.0,2012-08-29
2235,Victor,Lewis,,,IT01,,2029-08-12
2236,Brian,Moore,202329.57,999.0,HR01,3555.0,2024-06-04
2237,Jennifer,Gardner,47173.54,,FIN01,,2028-09-14
2238,Paul,Sullivan,256405.01,999.0,REC01,9999.0,2029-04-23
2239,Stephanie,Kelly,0.0,111.0,SUR01,,2024-04-13
2240,David,Bennett,136608.08,105.0,MGR01,3154.0,2028-09-18
2241,James,Gutierrez,0.0,999.0,HYG01,,2018-01-12
2242,April,Bradley,0.0,,IT01,9999.0,2029-05-12
2243,Todd,Newman,0.0,999.0,SUR01,2778.0,2027-07-24
2244,Brandi,Delacruz,0.0,999.0,HYG01,,2029-12-19
2245,Christopher,Ramos,220109.69,103.0,MGR01,,2030-03-19
2246,Stephanie,Potts,126400.29,999.0,DDS01,,2027-05-20
2247,Linda,Hoffman,252261.29,999.0,AST01,9999.0,2028-09-15
2248,Jennifer,Jefferson,,,BIL01,,2015-08-26
2249,Katrina,Jimenez,181575.47,108.0,HR01,,2019-08-09
2250,Jacob,Miller,,999.0,REC01,9999.0,2016-07-05
2251,Patrick,Skinner,,,FIN01,9999.0,2027-05-27
2252,Sherri,Gray,,999.0,MGR01,9999.0,2025-08-07
2253,Brett,HOUSTON,,999.0,AST01,,2029-12-06
2254,Brian,Johnston,,,MGR01,,2028-11-28
2255,Jill,Hudson,,999.0,HYG01,9999.0,2015-11-03
2256,Margaret,James,193809.97,999.0,BIL01,9999.0,2027-09-30
2257,,Bishop,0.0,999.0,IT01,9999.0,2013-03-14
2258,Lawrence,Jackson,203800.58,106.0,HR01,2988.0,2027-07-10
2259,Christopher,May,,,BIL01,2932.0,2029-07-24
2260,Anthony,Rice,,999.0,HYG01,2235.0,2028-02-02
2261,Chad,Cooley,101099.98,109.0,IT01,9999.0,2027-10-29
2262,Gary,Stewart,,107.0,IT01,9999.0,2018-03-06
2263,Eric,Sanchez,0.0,113.0,BIL01,3182.0,2024-03-28
2264,Jennifer,Barrett,0.0,,FIN01,,2028-02-25
2265,Michael,Hart,0.0,,AST01,9999.0,2012-01-20
2266,Alexander,Brown,130860.4,,FIN01,9999.0,2014-07-05
2267,Nicholas,Martin,0.0,115.0,REC01,3136.0,2028-11-13
2268,Nancy,Johnson,,,MGR01,2279.0,2030-02-10
2269,Daniel,Smith,,108.0,SUR01,9999.0,2015-04-23
2270,Gary,Thompson,,999.0,FIN01,,2015-06-23
2271,Kristine,Frederick,129378.21,999.0,HR01,9999.0,2019-05-06
2272,James,Klein,113473.06,,HYG01,2713.0,2029-01-28
2273,Mason,Watson,,999.0,AST01,9999.0,2029-12-10
2274,Katie,Smith,0.0,999.0,BIL01,9999.0,2017-03-03
2275,James,Patterson,0.0,999.0,HR01,3669.0,2016-12-01
2276,Mary,Owens,74184.28,104.0,HR01,,2013-10-14
2277,David,Jones,,999.0,MGR01,3627.0,2027-08-09
2278,Erin,Olson,,999.0,IT01,9999.0,2014-10-28
2279,Sara,Hernandez,,,REC01,3689.0,2028-06-28
2280,Rachel,Wilkins,,,DDS01,9999.0,2021-09-08
2281,Michael,Cook,73574.55,,AST01,,2012-04-21
2282,John,Hawkins,246616.86,,AST01,2512.0,2028-09-20
2283,Miguel,Murphy,,111.0,SUR01,3441.0,2017-04-22
2284,Alexandra,Clay,201396.03,999.0,AST01,2703.0,2029-09-02
2285,Anna,Davies,230370.07,,HR01,,2023-03-10
2286,Maria,Robertson,273376.24,999.0,IT01,3153.0,2024-12-08
2287,Daniel,Cooper,0.0,,HYG01,3761.0,2014-04-03
2288,Kenneth,Fuller,,106.0,SUR01,,2026-03-07
2289,Samantha,Conway,0.0,999.0,MGR01,,2015-01-17
2290,Troy,Munoz,193619.05,,FIN01,2230.0,2028-04-15
2291,,Pollard,,,BIL01,9999.0,2029-05-25
2292,Tom,Gregory,272094.24,999.0,SUR01,2138.0,2030-01-06
2293,Garrett,Sullivan,0.0,999.0,HR01,,2029-10-07
2294,James,Miller,,999.0,MGR01,3886.0,2016-04-23
2295,Michelle,Johnson,0.0,,DDS01,,2020-12-23
2296,Joseph,Steele,185828.26,999.0,HYG01,9999.0,2014-12-30
2297,,SMITH,,999.0,AST01,9999.0,2029-09-30
2298,Sarah,Klein,213575.24,113.0,MGR01,,2027-06-17
2299,Stephanie,Gordon,,,BIL01,,2021-09-16
2300,Amanda,Taylor,200047.7,999.0,DDS01,3042.0,2015-06-13
2301,Bryan,Thompson,79519.47,999.0,SUR01,9999.0,2029-04-07
2302,Wanda,Bond,107389.33,,AST01,9999.0,2022-01-05
2303,Kathleen,Fletcher,,,HYG01,,2028-04-19
2304,Kimberly ,Stanley,,999.0,FIN01,,2028-09-30
2305,Scott,Cole,0.0,113.0,DDS01,2308.0,2029-07-04
2306,Dylan,Vasquez,,999.0,HYG01,9999.0,2028-01-21
2307,Karen,Campbell,266072.56,,MGR01,2190.0,2015-09-28
2308,Caleb,Mccoy,0.0,999.0,HYG01,9999.0,2027-11-01
2309,Susan,Rodriguez,,,BIL01,,2029-12-27
2310,Kimberly,Ballard,0.0,102.0,IT01,2216.0,2029-07-05
2311,Erica,Rodriguez,,,AST01,2542.0,2013-06-01
2312,David,Figueroa,183759.57,,BIL01,2303.0,2018-06-13
2313,Edward,Graham,233620.61,,HYG01,,2016-02-22
2314,Richard,Herrera,47750.09,103.0,HYG01,,2030-01-29
2315,Robert,King,50014.04,999.0,BIL01,2908.0,2018-12-13
2316,Edward,Bradley,,999.0,HR01,,2020-01-09
2317,Jason,Espinoza,,108.0,REC01,9999.0,2015-07-18
2318,Amanda,Parker,,,MGR01,9999.0,2016-06-09
2319,Angela,Shepard,0.0,,HR01,9999.0,2027-10-26
2320,Sheila,Jordan,,,AST01,,2017-10-26
2321,Edward,Collins,0.0,101.0,AST01,,2028-07-18
2322,Debra,Reeves,0.0,999.0,FIN01,,2024-10-20
2323,Gregory,Schmidt,0.0,105.0,DDS01,3004.0,2012-05-15
2324,Scott,Ali,0.0,104.0,BIL01,9999.0,2023-05-18
2325,Linda,Austin,77580.11,999.0,BIL01,,2013-03-25
2326,Chase,Bentley,,103.0,BIL01,,2030-01-27
2327,Vincent,Evans,,999.0,REC01,3206.0,2029-01-23
2328,Lynn,Klein,0.0,,AST01,9999.0,2022-11-07
2329,Angela,Diaz,0.0,,SUR01,,2024-03-25
2330,David,Anderson,0.0,999.0,DDS01,,2028-10-05
2331,Christopher,Williams,104031.33,112.0,HR01,,2029-09-29
2332,Jonathan,Lee,0.0,107.0,AST01,,2017-11-25
2333,Jeffrey,Olsen,,102.0,AST01,2700.0,2027-07-25
2334,Shawn,Abbott,0.0,,AST01,3442.0,2027-08-06
2335,Joshua,Reed,121151.75,999.0,REC01,9999.0,2029-04-06
2336,Erin,Campbell,,103.0,HYG01,2738.0,2027-07-19
2337,John,Brown,90925.2,104.0,IT01,,2021-01-09
2338,Jeffrey,Blackburn,0.0,105.0,AST01,9999.0,2029-04-30
2339,Gregory,Davidson,,,AST01,,2012-06-20
2340,Tammy,Robbins,0.0,999.0,HR01,9999.0,2021-12-13
2341,Adam,Rice,,110.0,HR01,,2013-08-06
2342,Phillip,Turner,0.0,999.0,AST01,2301.0,2029-01-28
2343,Ashley,Smith,89327.0,107.0,AST01,,2018-08-26
2344,Amy,Howell,255260.01,,REC01,,2029-04-14
2345,,Ponce,0.0,,AST01,,2012-08-25
2346,Kathy,Coleman,68046.92,110.0,HR01,,2027-08-15
2347,Matthew,Acosta,153800.72,,DDS01,9999.0,2027-06-08
2348,Donald,Garza,,,BIL01,,2016-08-24
2349,Alicia,Brown,0.0,111.0,REC01,3991.0,2015-03-15
2350,Miranda,Ballard,,999.0,SUR01,2182.0,2028-10-31
2351,Corey,Allen,,114.0,REC01,3055.0,2018-03-11
2352,Tiffany,Duran,0.0,101.0,SUR01,2394.0,2018-01-24
2353,Mark,Madden,,,DDS01,,2021-05-19
2354,Jonathan,Mcdonald,,999.0,REC01,,2019-11-22
2355,Dorothy,Baker,133910.1,999.0,SUR01,3597.0,2017-07-31
2356,Richard,Reed,0.0,,FIN01,3866.0,2014-07-27
2357,Ruth,Miller,0.0,999.0,BIL01,,2027-09-04
2358,Jamie,Gibson,0.0,999.0,MGR01,2209.0,2029-05-13
2359,Julie,Nelson,69864.04,,REC01,,2028-07-28
2360,Douglas,Cortez,0.0,113.0,BIL01,3842.0,2028-07-18
2361,Daniel,Sloan,,,FIN01,,2022-12-21
2362,Brittney,Davies,212106.47,999.0,MGR01,,2027-08-06
2363,Jeanette,Roberts,,,MGR01,9999.0,2029-07-11
2364,Nathaniel,Bishop,122195.47,,HR01,9999.0,2030-01-04
2365,Nancy,Howard,112631.76,108.0,IT01,9999.0,2013-06-27
2366,Dale,Tran,,107.0,SUR01,3783.0,2021-04-24
2367,Ricky,Alexander,271929.33,999.0,BIL01,2369.0,2029-03-10
2368,Stephen,Collins,,104.0,HYG01,3180.0,2029-12-20
2369,Tracy,Mcbride,,107.0,BIL01,9999.0,2022-07-18
2370,Sean,Navarro,167137.77,111.0,SUR01,9999.0,2023-05-06
2371,Sara,Weber,0.0,105.0,REC01,2133.0,2030-02-07
2372,Matthew,Lopez,0.0,,SUR01,,2030-04-25
2373,Henry,Berry,49398.69,112.0,FIN01,9999.0,2023-08-12
2374,Joyce,Glover,,999.0,FIN01,9999.0,2026-04-28
2375,Maria,Cohen,0.0,,MGR01,,2014-04-16
2376,Bryan,Shea,202720.21,,FIN01,3355.0,2029-07-12
2377,Kimberly,Bush,0.0,110.0,IT01,2578.0,2023-02-07
2378,Daniel,Lindsey,165323.6,999.0,DDS01,,2013-04-24
2379,Julia,Long,155552.71,101.0,FIN01,3375.0,2020-10-09
2380,Misty,Ibarra,0.0,112.0,IT01,,2018-02-21
2381,Michelle,Swanson,67956.05,114.0,BIL01,,2029-03-20
2382,Angela,Moon,249767.16,114.0,BIL01,9999.0,2022-06-10
2383,Theresa,Watson,247049.37,,HR01,2374.0,2028-10-09
2384,Brandi,Robbins,,111.0,AST01,2231.0,2018-03-22
2385,Stephen,Wilson,,999.0,AST01,,2015-06-13
2386,Sara,Hodges,146358.21,999.0,BIL01,2643.0,2022-11-28
2387,Mark,Hill,0.0,,AST01,9999.0,2029-07-14
2388,Beverly,Atkins,0.0,115.0,AST01,,2030-02-09
2389,Mariah,Miller,268133.36,109.0,HR01,9999.0,2029-09-03
2390,Brian,Olson,176798.03,,IT01,,2015-04-27
2391,Lori ,King,0.0,101.0,MGR01,9999.0,2029-08-10
2392,Joseph,Lam,123396.47,114.0,MGR01,,2027-05-11
2393,Monica,Smith,,102.0,DDS01,9999.0,2014-08-31
2394,Jacob,Juarez,0.0,999.0,IT01,2217.0,2021-04-04
2395,Nancy,Foster,0.0,104.0,IT01,,2020-07-17
2396,Alice,Macias,219144.35,999.0,IT01,9999.0,2012-11-13
2397,Brian,Robbins,266686.59,999.0,FIN01,9999.0,2029-03-22
2398,Hannah,Maldonado,0.0,999.0,HR01,3669.0,2021-11-07
2399,Elaine,Johnson,,999.0,HR01,3561.0,2028-12-29
2400,Allen,Heath,,999.0,MGR01,9999.0,2027-07-31
2401,Debra,Jones,190494.16,999.0,AST01,,2028-04-05
2402,Lindsay,Johnson,0.0,,MGR01,3454.0,2029-10-15
2403,Rachael,Aguilar,0.0,999.0,MGR01,,2015-12-13
2404,David,Smith,,113.0,AST01,9999.0,2029-08-26
2405,Monique,Lee,218326.61,,MGR01,9999.0,2020-09-25
2406,Michael,Reed,0.0,111.0,HR01,,2029-01-13
2407,Christopher,Newton,171988.66,,SUR01,9999.0,2027-09-08
2408,Dominic,White,0.0,999.0,REC01,9999.0,2014-01-28
2409,Cynthia,Dominguez,0.0,109.0,REC01,2772.0,2029-06-10
2410,Robert,Russell,,999.0,AST01,3919.0,2016-11-24
2411,Michael,Smith,0.0,,HYG01,9999.0,2028-09-07
2412,Misty,Bowman,87289.89,999.0,HYG01,,2028-09-21
2413,James,Navarro,,999.0,HYG01,,2013-12-29
